asset_id,asset_class,source_layer,source_id,shape,diameter_m,width_m,height_m,barrels,slope_used,slope_basis,roughness_n,area_m2,data_capacity_m3s,nominal_fallback_m3s,capacity_method,best_guess_capacity_m3s,partial_blockage_capacity_m3s,post_widening_capacity_m3s,confidence,basis,dimension_refinement_note,dimension_provider,dimension_source_method,dimension_source_reference,topology_connected_local_count,topology_connected_mcg_local_count,topology_connected_local_capacity_sum_m3s,topology_connected_local_capacity_median_m3s,topology_connected_mcg_local_capacity_median_m3s,topology_capacity_floor_m3s,topology_capacity_floor_basis,topology_downstream_endpoint_closer_to_main_leg,topology_endpoint_elevation_drop_m,topology_endpoint_distance_change_to_main_leg_m,topology_flow_orientation_note,topology_capacity_check,topology_suggested_capacity_m3s,topology_model_capacity_m3s
TRUNK-LEG-3,main drain leg,Drain_Legs3,Badshapur Drain (Leg 3),main open/trunk drain,,,,,,capacity placeholder; use design cross-section and tailwater when available,0.03,,,80.0,nominal fallback,80.0,48.0,108.0,low until design discharge/cross-section is provided,nominal main-leg capacity placeholder,,AIReSQ_inferred,AIReSQ_parent_table_main_leg_capacity_placeholder,main legs are handled by separate trunk hydraulic parameters,,,,,,,,True,29.659,0.0,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,80.0
TRUNK-LEG-2,main drain leg,Drain_Legs3,Leg 2,main open/trunk drain,,,,,,capacity placeholder; use design cross-section and tailwater when available,0.03,,,45.0,nominal fallback,45.0,27.0,60.75,low until design discharge/cross-section is provided,nominal main-leg capacity placeholder,,AIReSQ_inferred,AIReSQ_parent_table_main_leg_capacity_placeholder,main legs are handled by separate trunk hydraulic parameters,,,,,,,,True,35.054,0.0,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,45.0
TRUNK-LEG-1,main drain leg,Drain_Legs3,Leg 1,main open/trunk drain,,,,,,capacity placeholder; use design cross-section and tailwater when available,0.03,,,35.0,nominal fallback,35.0,21.0,47.25,low until design discharge/cross-section is provided,nominal main-leg capacity placeholder,,AIReSQ_inferred,AIReSQ_parent_table_main_leg_capacity_placeholder,main legs are handled by separate trunk hydraulic parameters,,,,,,,,True,0.0,0.0,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,35.0
SWD-LINE-1992,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1992,box drain,,1.8288,1.8288,1.0,0.00117,surface slope proxy; replace with surveyed invert slope,0.013,3.345,5.213,,source-data Manning estimate,5.213,3.128,5.995,medium where diameter/depth exists; field-check invert and blockage,BOX + depth field; square box assumed where width missing,,AIReSQ_inferred,AIReSQ_square_box_width_assumption_from_MCG_depth,STORM_WATER_DRAIN:SWD-LINE-1992,,,,,,,,True,3.337,372.523,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,5.213
SWD-LINE-1831,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1831,circular pipe,0.4,,,1.0,0.00497,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.147,,source-data Manning estimate,0.147,0.088,0.169,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1831,,,,,,,,True,0.755,276.442,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.147
SWD-LINE-1881,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1881,circular pipe,0.4,,,1.0,0.01009,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.209,,source-data Manning estimate,0.209,0.125,0.24,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1881,,,,,,,,True,0.008,11.395,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.209
SWD-LINE-1885,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1885,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1885,,,,,,,,True,0.054,56.78,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.081
SWD-LINE-1882,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1882,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1882,,,,,,,,True,0.034,33.346,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.081
SWD-LINE-1884,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1884,circular pipe,0.4,,,1.0,0.01433,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.249,,source-data Manning estimate,0.249,0.149,0.286,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1884,,,,,,,,True,0.024,53.552,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.249
SWD-LINE-1886,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1886,circular pipe,0.4,,,1.0,0.0065,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.168,,source-data Manning estimate,0.168,0.101,0.193,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1886,,,,,,,,True,0.039,23.151,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.168
SWD-LINE-1887,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1887,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1887,,,,,,,,True,0.064,21.623,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.081
SWD-LINE-1877,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1877,circular pipe,0.45,,,1.0,0.00241,surface slope proxy; replace with surveyed invert slope,0.013,0.159,0.14,,source-data Manning estimate,0.14,0.084,0.161,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1877,,,,,,,,False,1.685,-1032.955,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.14
SWD-LINE-2317,local storm drain,STORM_WATER_DRAIN,SWD-LINE-2317,circular pipe,0.4,,,1.0,0.01178,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.226,,source-data Manning estimate,0.226,0.136,0.26,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-2317,,,,,,,,True,0.05,15.511,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.226
SWD-LINE-1823,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1823,circular pipe,0.4,,,1.0,0.00266,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.107,,source-data Manning estimate,0.107,0.064,0.123,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1823,,,,,,,,False,0.426,-232.974,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.107
SWD-LINE-1829,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1829,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1829,,,,,,,,True,0.452,58.698,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.081
SWD-LINE-1826,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1826,circular pipe,0.4,,,1.0,0.0187,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.285,,source-data Manning estimate,0.285,0.171,0.328,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1826,,,,,,,,False,0.534,-40.658,terrain high-to-low endpoint is farther from main legs; do not force reversal without surveyed invert evidence,not_applicable,,0.285
SWD-LINE-1833,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1833,circular pipe,0.4,,,1.0,0.01367,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.243,,source-data Manning estimate,0.243,0.146,0.279,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1833,,,,,,,,True,0.193,85.489,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.243
SWD-LINE-1830,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1830,circular pipe,0.4,,,1.0,0.00554,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.155,,source-data Manning estimate,0.155,0.093,0.178,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1830,,,,,,,,True,0.921,167.168,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.155
SWD-LINE-1834,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1834,circular pipe,0.4,,,1.0,0.00397,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.131,,source-data Manning estimate,0.131,0.079,0.151,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1834,,,,,,,,True,0.122,83.987,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.131
SWD-LINE-1827,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1827,circular pipe,0.4,,,1.0,0.00855,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.193,,source-data Manning estimate,0.193,0.116,0.222,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1827,,,,,,,,True,0.514,108.333,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.193
SWD-LINE-1828,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1828,circular pipe,0.4,,,1.0,0.00533,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.152,,source-data Manning estimate,0.152,0.091,0.175,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1828,,,,,,,,True,0.553,111.622,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.152
SWD-LINE-1835,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1835,circular pipe,0.4,,,1.0,0.01847,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.283,,source-data Manning estimate,0.283,0.17,0.325,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1835,,,,,,,,True,0.275,51.808,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.283
SWD-LINE-1832,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1832,circular pipe,0.4,,,1.0,0.00487,surface slope proxy; replace with surveyed invert slope,0.013,0.126,0.145,,source-data Manning estimate,0.145,0.087,0.167,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1832,,,,,,,,True,1.015,325.541,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.145
SWD-LINE-1850,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1850,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1850,,,,,,,,True,0.31,56.169,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.081
SWD-LINE-1851,local storm drain,STORM_WATER_DRAIN,SWD-LINE-1851,circular pipe,0.4,,,1.0,0.0015,default slope; surface slope unsuitable for pipe invert,0.013,0.126,0.081,,source-data Manning estimate,0.081,0.049,0.093,medium where diameter/depth exists; field-check invert and blockage,diameter field,,MCG,MCG_drain_inventory_diameter_field,STORM_WATER_DRAIN:SWD-LINE-1851,,,,,,,,True,0.394,65.524,terrain high-to-low direction moves toward or roughly along main-leg proximity,not_applicable,,0.081
