line_id,source_id,work_status,size_text,height_m,width_m,model_use
SWD-WORK-001,229,Work in progress,800,0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-002,91,Work in progress,1200,1.2,0.9,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-003,92,Work in progress,1200,1.2,0.9,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-004,169,Work Completed,[ 1400 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-005,17,Work Completed,[ 750 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-006,16,Work Completed,[ 1200 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-007,165,Work Completed,"[ 2000*1500,C ]",2.0,1.5,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-008,164,Work Completed,"[ 2(N)*3500*2120 ,C]",3.5,2.12,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-009,163,Work Completed,"[ 2(N)*3200*2120 ,C]",3.3,2.12,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-010,40,Work Completed,[ 1200 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-011,228,Work in progress,1400,0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-012,168,Work Completed,[ 900 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-013,167,Work Completed,[ 1000 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-014,227,Work in progress,[800],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-015,15,Work Completed,[ 1400 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-016,112,Work Completed,[ 700 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-017,170,Work Completed,"[ 1800*1500 ,C]",1.8,1.5,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-018,192,Work Completed,[ 200 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-019,166,Work Completed,[ 1100 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-020,14,Work Completed,[ 1200 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-021,191,Work Completed,"[ 1800*1200 ,C]",1.8,1.2,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-022,162,Work Completed,"[ 2(N)*3200*2120 ,C]",3.0,2.12,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-023,161,Work Completed,"[ 2(N)*3000*2120 ,C]",2.3,2.12,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-024,217,Work Completed,"[4500*2420,C ]",4.5,2.42,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-025,160,Work Completed,[ 1800 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-026,159,Work Completed,"[4500*2420,C ]",4.5,2.42,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-027,226,Work Completed,[ 1200 ɸ ],1.0,1.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-028,219,Creeks,[2400*1200],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-029,197,Work Completed,"[ 4000*1800,C ]",4.0,1.8,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-030,37,Work Completed,[ 1000 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-031,41,Work Completed,[ 1000 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-032,106,Work Completed,[ 1600 ɸ ],0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
SWD-WORK-033,266,Work Completed,"[ 2400*1200,C ]",0.0,0.0,capacity scenario evidence; do not assume completed widening without latest field confirmation
