trunk_id,trunk_name,geometry_status,profile_scenario,profile_basis,barrels,clear_width_per_barrel_m,clear_height_m,total_clear_area_m2,roughness_n,assumed_top_cover_m,assumed_top_slab_m,route_length_m,upstream_x_utm43n,upstream_y_utm43n,downstream_x_utm43n,downstream_y_utm43n,upstream_ground_m,downstream_ground_m,surface_grade_westward_m_per_m,assigned_invert_slope_m_per_m,assigned_invert_slope_pct,upstream_invert_m,downstream_invert_m,downstream_cover_to_top_slab_m,full_flow_manning_capacity_m3s,model_use_flag
TRUNK-LEG-3,Leg 3 / Badshahpur Drain,geometry_present,terrain_parallel,terrain endpoint grade; keeps cover roughly constant,3,7.0,2.5,52.5,0.013,0.75,0.3,24770.7,706490.66,3145381.79,690473.23,3154752.06,242.392,210.403,0.001291,0.001291,0.1291,238.842,206.853,0.75,137.38,screening prior acceptable
TRUNK-LEG-3,Leg 3 / Badshahpur Drain,geometry_present,minimum_gravity_0p03pct,minimum gravity screening grade for very flat trunk drains,3,7.0,2.5,52.5,0.013,0.75,0.3,24770.7,706490.66,3145381.79,690473.23,3154752.06,242.392,210.403,0.001291,0.0003,0.03,238.842,231.411,-23.808,66.22,insufficient downstream cover
TRUNK-LEG-3,Leg 3 / Badshahpur Drain,geometry_present,design_low_0p05pct,conservative urban storm-drain design grade,3,7.0,2.5,52.5,0.013,0.75,0.3,24770.7,706490.66,3145381.79,690473.23,3154752.06,242.392,210.403,0.001291,0.0005,0.05,238.842,226.457,-18.853,85.49,insufficient downstream cover
TRUNK-LEG-3,Leg 3 / Badshahpur Drain,geometry_present,design_mid_0p10pct,steeper design grade; often implies deeper downstream invert,3,7.0,2.5,52.5,0.013,0.75,0.3,24770.7,706490.66,3145381.79,690473.23,3154752.06,242.392,210.403,0.001291,0.001,0.1,238.842,214.071,-6.468,120.89,insufficient downstream cover
TRUNK-LEG-2,Leg 2,geometry_present,terrain_parallel,terrain endpoint grade; keeps cover roughly constant,3,7.0,2.5,52.5,0.013,0.75,0.3,16362.4,704491.34,3150169.17,692319.24,3155600.6,245.081,212.253,0.002006,0.002006,0.2006,241.531,208.703,0.75,171.24,screening prior acceptable
TRUNK-LEG-2,Leg 2,geometry_present,minimum_gravity_0p03pct,minimum gravity screening grade for very flat trunk drains,3,7.0,2.5,52.5,0.013,0.75,0.3,16362.4,704491.34,3150169.17,692319.24,3155600.6,245.081,212.253,0.002006,0.0003,0.03,241.531,236.623,-27.17,66.22,insufficient downstream cover
TRUNK-LEG-2,Leg 2,geometry_present,design_low_0p05pct,conservative urban storm-drain design grade,3,7.0,2.5,52.5,0.013,0.75,0.3,16362.4,704491.34,3150169.17,692319.24,3155600.6,245.081,212.253,0.002006,0.0005,0.05,241.531,233.35,-23.898,85.49,insufficient downstream cover
TRUNK-LEG-2,Leg 2,geometry_present,design_mid_0p10pct,steeper design grade; often implies deeper downstream invert,3,7.0,2.5,52.5,0.013,0.75,0.3,16362.4,704491.34,3150169.17,692319.24,3155600.6,245.081,212.253,0.002006,0.001,0.1,241.531,225.169,-15.716,120.89,insufficient downstream cover
TRUNK-LEG-1,Leg 1,geometry_present,terrain_parallel,terrain endpoint grade; keeps cover roughly constant,2,3.0,2.5,15.0,0.013,0.75,0.3,12361.0,705575.57,3152426.06,695735.91,3157735.65,249.0,212.378,0.002963,0.002963,0.2963,245.45,208.828,0.75,48.65,screening prior acceptable
TRUNK-LEG-1,Leg 1,geometry_present,minimum_gravity_0p03pct,minimum gravity screening grade for very flat trunk drains,2,3.0,2.5,15.0,0.013,0.75,0.3,12361.0,705575.57,3152426.06,695735.91,3157735.65,249.0,212.378,0.002963,0.0003,0.03,245.45,241.742,-32.164,15.48,insufficient downstream cover
